Date,Return MSFT,Return S&P,Return T-Bill
06/03/2019,0.008841661258922806,-0.014706783525723282,0.023846153846153847
05/31/2019,0.001969928439334167,0.002053500949730661,0.025824175824175826
05/30/2019,0.00918829996388886,0.010536951501154792,0.025824175824175826
05/29/2019,-0.0029421119592875676,-0.0024282245393515453,0.025824175824175826
05/28/2019,0.02081505702209107,0.017146334478808575,0.025824175824175826
05/24/2019,-0.004570312499999951,0.00017596339961292054,0.025824175824175826
05/23/2019,-0.008829415688890632,-0.0034834623504574566,0.025824175824175826
05/22/2019,0.015440652466545276,0.01228770170544832,0.025824175824175826
05/21/2019,-0.005557548346849753,0.0008371411629286306,0.025824175824175826
05/20/2019,0.000486954557965243,-0.005227755898651239,0.025824175824175826
05/17/2019,0.02249873422086796,0.011106050520267722,0.025824175824175826
05/16/2019,-0.008278399509428273,0.002113652113651964,0.025824175824175826
05/15/2019,-0.020636883598701514,-0.01189447114553438,0.025824175824175826
05/14/2019,-0.006550390655828256,-0.0023445428141510975,0.025824175824175826
05/13/2019,-0.0026215443279313496,-0.005647141353910956,0.025824175824175826
05/10/2019,0.01895659099960183,0.019224664009312456,0.025824175824175826
05/09/2019,-0.01672789806925663,-0.005572091091576153,0.025824175824175826
05/08/2019,0.004610859368789238,0.00730866947412391,0.025824175824175826
05/07/2019,0.006409749149323433,0.0047679922606502275,0.025824175824175826
05/06/2019,0.010850762698537469,0.0085966782435267,0.025824175824175826
05/03/2019,0.006767268201617957,0.0035116429715999205,0.025824175824175826
05/02/2019,-0.011048443173916454,-0.0055717877284772255,0.025824175824175826
05/01/2019,0.020703125000000044,0.007687051588657329,0.025824175824175826
04/30/2019,0.00038270187523905814,-0.0020681471435837046,0.026153846153846153
04/29/2019,-0.00397857689364944,0.0003737174695930341,0.026153846153846153
04/26/2019,0.0025748962974342154,-0.0032603158430972307,0.026153846153846153
04/25/2019,0.006549428725543168,-0.002419162492759673,0.026153846153846153
04/24/2019,-0.04201872573646959,0.0012979028622175433,0.026153846153846153
04/23/2019,-0.0021454112038140328,-6.822213125951239e-05,0.026153846153846153
04/22/2019,-0.012581621277273438,-0.009227672784335075,0.026153846153846153
04/18/2019,-0.003870967741935516,-0.00039595778745677725,0.026153846153846153
